,valence,energy,tempo,acousticness,loudness,id
260,0.887,0.423,108.762,0.578,-8.93,5muv4b22x6wayiktesRC8G
261,0.46,0.492,130.113,0.813,-9.493,55ufHLifQbU9DMK1smJol8
262,0.713,0.517,66.695,0.826,-8.532,22qFMujgBNkJQLIcGjH3WA
263,0.694,0.207,89.503,0.388,-18.574,3vRqAkSb94rR8e2To0CkQw
264,0.359,0.2,136.832,0.82,-13.589,0Uj04jzL63xl9QGd16S2Rt
265,0.963,0.536,143.166,0.157,-7.975,4VLsKGFfOFeSMuUFkzR6aJ
266,0.155,0.262,152.07,0.48,-12.076,2iXEV6fZUCUvJmKvAMGVkL
267,0.571,0.487,123.835,0.4,-9.799,7lCkX8C2en1tHHvryx1ywx
268,0.693,0.797,173.437,0.472,-3.838,6oSoqM0Otpmuowlzx0jYvK
269,0.757,0.62,128.81,0.613,-7.597,2VArx6fn6Ig6HBQtvr8sH6
270,0.941,0.583,168.394,0.0906,-8.072,4XSRqScl0RWxFjOQID8QCW
271,0.304,0.394,100.567,0.728,-11.16,6QQNg4yvSo5jgOZWo5lRBr
272,0.61,0.203,108.709,0.932,-15.176,1ZaN2xCGG3SvsAsOf0MPoI
273,0.878,0.459,116.633,0.361,-7.348,0TIDNnRf2m6xRWXXfqi8EQ
274,0.82,0.491,114.382,0.495,-10.09,6u7CLl0KSE00hcZyyEE3HG
275,0.673,0.571,105.943,0.23,-10.669,0aUnjZPj2VqWFsiaV8vf8Y
276,0.395,0.449,126.553,0.988,-8.754,5y1lp6YObOD1dAjj9Qdb0K
277,0.767,0.607,113.88,0.242,-9.525,5YvokzRkNONpj5c0TIqTjQ
278,0.972,0.729,79.52,0.42,-9.346,5BXFSxoEoFZoUZmuqyQOg0
279,0.849,0.833,151.977,0.548,-8.228,2YOlhI4YQ0pWbqv16TA9ia
280,0.454,0.331,98.961,0.76,-12.746,5fK4wYEwuDxwnq4FQgpMis
281,0.966,0.612,119.17,0.47,-12.329,2nlcjQE08dyyNtyGMWyheU
282,0.931,0.77,140.576,0.454,-5.268,2ru7oVvikwBakpiHoQME4V
283,0.546,0.435,107.016,0.497,-10.624,2nlSLBjdnp6HLPn5EY8v47
284,0.508,0.378,88.417,0.374,-10.877,4qEaW3qN5P4pKPkWQ5HVVB
285,0.534,0.122,113.942,0.934,-20.57,3Cad4s7CKYL5n1soxUDkiE
286,0.382,0.536,134.67,0.749,-10.762,2InR8wwGrb3AVMmg4luLRy
287,0.403,0.477,108.308,0.552,-8.912,79WlsAZxeYeha165HybU6H
288,0.358,0.32,96.573,0.229,-13.751,1qp0EZw0V7SfInQyRI0Ft6
289,0.96,0.835,150.527,0.636,-8.008,4ge4AgDBAX04VxYOd2uHtr
290,0.626,0.307,99.277,0.549,-8.472,3L2jrsxXqOaIa9wXXIUcl1
291,0.681,0.266,107.756,0.957,-11.954,06iRctIhLokm1g46gYm9LX
